foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
Dental_caries	0	65	194	14182	0.00	1.00e+00	Fisher-Exact		
Diabetic_retinopathy	1	28	194	14182	2.68	3.20e-01	Fisher-Exact		
Dialysis-related_mortality	1	26	194	14182	2.89	3.01e-01	Fisher-Exact		
Diastolic_blood_pressure	1	36	194	14182	2.07	3.91e-01	Fisher-Exact		
Disc_degeneration_lumbar	1	112	194	14182	0.65	1.00e+00	Fisher-Exact		
DNA_methylation_variation	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Eating_disorders	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Economic_and_political_preferences	2	17	194	14182	9.70	2.21e-02	Fisher-Exact		
Economic_and_political_preferences_environmentalism	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
Economic_and_political_preferences_immigration-crime	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Electrocardiographic_traits	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Endometriosis	0	27	194	14182	0.00	1.00e+00	Fisher-Exact		
End-stage_coagulation	1	23	194	14182	3.29	2.72e-01	Fisher-Exact		
Erectile_dysfunction_and_prostate_cancer_treatment	0	23	194	14182	0.00	1.00e+00	Fisher-Exact		
Estradiol_plasma_levels_breast_cancer	1	18	194	14182	4.26	2.20e-01	Fisher-Exact		
Fasting_glucose-related_traits	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Fasting_glucose-related_traits_interaction_with_BMI	0	31	194	14182	0.00	1.00e+00	Fisher-Exact		
Fasting_insulin-related_traits_interaction_with_BMI	1	20	194	14182	3.81	2.41e-01	Fisher-Exact		
F-cell_distribution	0	30	194	14182	0.00	1.00e+00	Fisher-Exact		
Follicular_lymphoma	0	22	194	14182	0.00	1.00e+00	Fisher-Exact		
Glycated_hemoglobin_levels	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Graves_disease	1	79	194	14182	0.92	1.00e+00	Fisher-Exact		
Hair_morphology	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
HDL_cholesterol	0	106	194	14182	0.00	4.08e-01	Fisher-Exact		
Heart_failure	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Heart_rate	0	37	194	14182	0.00	1.00e+00	Fisher-Exact		
Height	10	514	194	14182	1.45	2.43e-01	Fisher-Exact		
Hematological_and_biochemical_traits	0	27	194	14182	0.00	1.00e+00	Fisher-Exact		
Hematological_parameters	2	19	194	14182	8.56	2.73e-02	Fisher-Exact		
Hematology_traits	1	30	194	14182	2.49	3.39e-01	Fisher-Exact		
Hemostatic_factors_and_hematological_phenotypes	0	29	194	14182	0.00	1.00e+00	Fisher-Exact		
Hepatitis_B	0	32	194	14182	0.00	1.00e+00	Fisher-Exact		
Hepatitis_B_vaccine_response	0	20	194	14182	0.00	1.00e+00	Fisher-Exact		
Hepatitis_B_viral_clearance	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Hepatitis_C_induced_liver_cirrhosis	0	38	194	14182	0.00	1.00e+00	Fisher-Exact		
Hepatocellular_carcinoma	0	29	194	14182	0.00	1.00e+00	Fisher-Exact		
Hip_geometry	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Hippocampal_atrophy	0	31	194	14182	0.00	1.00e+00	Fisher-Exact		
HIV-1_control	1	138	194	14182	0.52	1.00e+00	Fisher-Exact		
HIV-1_susceptibility	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Hodgkins_lymphoma	0	29	194	14182	0.00	1.00e+00	Fisher-Exact		
Hypertension	0	47	194	14182	0.00	1.00e+00	Fisher-Exact		
Hypothyroidism	0	33	194	14182	0.00	1.00e+00	Fisher-Exact		
IgA_nephropathy	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
IgE_grass_sensitization	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
IgE_levels	0	41	194	14182	0.00	1.00e+00	Fisher-Exact		
IgG_glycosylation	7	473	194	14182	1.09	8.39e-01	Fisher-Exact		
Immune_reponse_to_smallpox_secreted_IFN-alpha	1	39	194	14182	1.90	4.16e-01	Fisher-Exact		
Immune_reponse_to_smallpox_secreted_IL-2	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Immune_response_to_smallpox_vaccine_IL-6	1	46	194	14182	1.61	4.70e-01	Fisher-Exact		
Immunoglobulin_A	0	23	194	14182	0.00	1.00e+00	Fisher-Exact		
Inattentive_symptoms	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Inflammatory_biomarkers	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Inflammatory_bowel_disease	2	128	194	14182	1.15	6.95e-01	Fisher-Exact		
Information_processing_speed	2	25	194	14182	6.32	4.55e-02	Fisher-Exact		
Intelligence	0	55	194	14182	0.00	1.00e+00	Fisher-Exact		
Interstitial_lung_disease	0	24	194	14182	0.00	1.00e+00	Fisher-Exact		
Iron_status_biomarkers	1	30	194	14182	2.49	3.39e-01	Fisher-Exact		
Kawasaki_disease	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
LDL_cholesterol	2	93	194	14182	1.59	3.64e-01	Fisher-Exact		
Lipid_metabolism_phenotypes	1	47	194	14182	1.57	4.77e-01	Fisher-Exact		
Lipoprotein-associated_phospholipase_A2_activity_and_mass	1	19	194	14182	4.02	2.30e-01	Fisher-Exact		
Liver_enzyme_levels_gamma-glutamyl_transferase	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Longevity	3	43	194	14182	5.48	2.08e-02	Fisher-Exact		
Lung_adenocarcinoma	0	29	194	14182	0.00	1.00e+00	Fisher-Exact		
Lung_cancer	1	43	194	14182	1.72	4.47e-01	Fisher-Exact		
Lymphoma	0	47	194	14182	0.00	1.00e+00	Fisher-Exact		
Major_depressive_disorder	3	75	194	14182	3.04	8.34e-02	Fisher-Exact		
Mean_corpuscular_hemoglobin	1	30	194	14182	2.49	3.39e-01	Fisher-Exact		
Mean_corpuscular_volume	0	38	194	14182	0.00	1.00e+00	Fisher-Exact		
Mean_platelet_volume	1	51	194	14182	1.44	5.05e-01	Fisher-Exact		
Melanoma	1	18	194	14182	4.26	2.20e-01	Fisher-Exact		
Menarche_age_at_onset	0	65	194	14182	0.00	1.00e+00	Fisher-Exact		
Menopause_age_at_onset	0	46	194	14182	0.00	1.00e+00	Fisher-Exact		
Metabolic_syndrome	2	51	194	14182	2.96	1.54e-01	Fisher-Exact		
Metabolic_syndrome_bivariate_traits	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Metabolic_traits	0	48	194	14182	0.00	1.00e+00	Fisher-Exact		
Metabolite_levels	0	98	194	14182	0.00	6.47e-01	Fisher-Exact		
Metabolite_levels_HVA-MHPG_ratio	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Metabolite_levels_MHPG	0	20	194	14182	0.00	1.00e+00	Fisher-Exact		
Methotrexate_phramacokinetics_acute_lymphoblastic_leukemia	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
Migraine	2	70	194	14182	2.13	2.48e-01	Fisher-Exact		
Migraine_clinic-based	0	37	194	14182	0.00	1.00e+00	Fisher-Exact		
Migraine_with_aura	1	23	194	14182	3.29	2.72e-01	Fisher-Exact		
Migraine_without_aura	2	43	194	14182	3.54	1.17e-01	Fisher-Exact		
Multiple_myeloma_IgH_translocation	1	22	194	14182	3.45	2.62e-01	Fisher-Exact		
Multiple_sclerosis	4	211	194	14182	1.40	5.39e-01	Fisher-Exact		
Multiple_sclerosis_OCB_status	0	42	194	14182	0.00	1.00e+00	Fisher-Exact		
Myopia_pathological	2	77	194	14182	1.93	2.84e-01	Fisher-Exact		
Nasopharyngeal_carcinoma	0	47	194	14182	0.00	1.00e+00	Fisher-Exact		
Nephropathy	0	30	194	14182	0.00	1.00e+00	Fisher-Exact		
Neutrophil_count	0	22	194	14182	0.00	1.00e+00	Fisher-Exact		
Nodular_sclerosis_Hodgkin_lymphoma	0	36	194	14182	0.00	1.00e+00	Fisher-Exact		
Non-alcoholic_fatty_liver_disease_histology_other	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Non-small_cell_lung_cancer	1	19	194	14182	4.02	2.30e-01	Fisher-Exact		
O2V5HT~F	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Obesity	1	77	194	14182	0.95	1.00e+00	Fisher-Exact		
Obesity_early_onset_extreme	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Obesity_extreme	1	19	194	14182	4.02	2.30e-01	Fisher-Exact		
Obesity-related_traits	8	847	194	14182	0.67	3.58e-01	Fisher-Exact		
Orofacial_clefts	0	45	194	14182	0.00	1.00e+00	Fisher-Exact		
Pancreatic_cancer	1	39	194	14182	1.90	4.16e-01	Fisher-Exact		
Panic_disorder	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Parkinsons_disease	0	87	194	14182	0.00	6.35e-01	Fisher-Exact		
Periodontal_microbiota	1	15	194	14182	5.17	1.87e-01	Fisher-Exact		
Personality_dimensions	0	20	194	14182	0.00	1.00e+00	Fisher-Exact		
Phospholipid_levels_plasma	2	71	194	14182	2.10	2.54e-01	Fisher-Exact		
Platelet_aggregation	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Platelet_counts	0	85	194	14182	0.00	6.33e-01	Fisher-Exact		
PLF201~O	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Post-traumatic_stress_disorder_asjusted_for_relatedness	1	15	194	14182	5.17	1.87e-01	Fisher-Exact		
Preeclampsia	0	24	194	14182	0.00	1.00e+00	Fisher-Exact		
Primary_biliary_cirrhosis	0	68	194	14182	0.00	1.00e+00	Fisher-Exact		
Primary_tooth_development_number_of_teeth	0	20	194	14182	0.00	1.00e+00	Fisher-Exact		
Primary_tooth_development_time_to_first_tooth_eruption	1	19	194	14182	4.02	2.30e-01	Fisher-Exact		
PR_interval	1	26	194	14182	2.89	3.01e-01	Fisher-Exact		
Prostate_cancer	2	114	194	14182	1.29	6.71e-01	Fisher-Exact		
Prostate_cancer_gene_x_gene_interaction	0	56	194	14182	0.00	1.00e+00	Fisher-Exact		
Protein_quantitative_trait_loci	4	54	194	14182	5.87	6.30e-03	Fisher-Exact		
Psoriasis	0	63	194	14182	0.00	1.00e+00	Fisher-Exact		
Pubertal_anthropometrics	1	34	194	14182	2.19	3.74e-01	Fisher-Exact		
Pulmonary_function	2	85	194	14182	1.75	3.24e-01	Fisher-Exact		
Pulmonary_function_decline	1	39	194	14182	1.90	4.16e-01	Fisher-Exact		
Pulmonary_function_interaction	1	74	194	14182	0.99	1.00e+00	Fisher-Exact		
QT_interval	1	76	194	14182	0.96	1.00e+00	Fisher-Exact		
QT_interval_interaction	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Quantitative_traits	0	28	194	14182	0.00	1.00e+00	Fisher-Exact		
Red_blood_cell_traits	0	60	194	14182	0.00	1.00e+00	Fisher-Exact		
Refractive_error	0	29	194	14182	0.00	1.00e+00	Fisher-Exact		
Renal_function-related_traits_BUN	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Renal_function-related_traits_eGRFcrea	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_amphetamines	1	91	194	14182	0.80	1.00e+00	Fisher-Exact		
Response_to_angiotensin_II_receptor_blocker_therapy	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_antidepressant_treatment	0	22	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_antipsychotic_therapy_extrapyramidal_side_effects	0	18	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_antipsychotic_treatment	0	61	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_citalopram_treatment	0	18	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_hepatitis_C_treatment	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_statin_therapy	0	39	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_taxane_treatment_docetaxel	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Response_to_tocilizumab_in_rheumatoid_arthritis	0	28	194	14182	0.00	1.00e+00	Fisher-Exact		
Retinopathy_in_non-diabetics	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Rheumatoid_arthritis	1	153	194	14182	0.47	7.27e-01	Fisher-Exact		
RR_interval_heart_rate	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Schizophrenia	1	154	194	14182	0.47	7.27e-01	Fisher-Exact		
Select_biomarker_traits	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Self-reported_allergy	1	45	194	14182	1.64	4.62e-01	Fisher-Exact		
Sex_hormone-binding_globulin_levels	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Smoking_behavior	1	41	194	14182	1.81	4.32e-01	Fisher-Exact		
Stevens-Johnson_syndrome_and_toxic_epidermal_necrolysis_SJS-TEN	0	33	194	14182	0.00	1.00e+00	Fisher-Exact		
Subcutaneous_adipose_tissue	0	37	194	14182	0.00	1.00e+00	Fisher-Exact		
Sudden_cardiac_arrest	1	50	194	14182	1.47	4.98e-01	Fisher-Exact		
Systemic_lupus_erythematosus	2	141	194	14182	1.04	7.19e-01	Fisher-Exact		
Systemic_lupus_erythematosus_and_Systemic_sclerosis	0	20	194	14182	0.00	1.00e+00	Fisher-Exact		
Systemic_sclerosis	1	65	194	14182	1.13	5.92e-01	Fisher-Exact		
Systolic_blood_pressure	1	35	194	14182	2.13	3.83e-01	Fisher-Exact		
Tanning	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Telomere_length	0	22	194	14182	0.00	1.00e+00	Fisher-Exact		
Temperament	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Testicular_germ_cell_tumor	0	21	194	14182	0.00	1.00e+00	Fisher-Exact		
Thiazide-induced_adverse_metabolic_effects_in_hypertensive_patients	2	59	194	14182	2.55	1.93e-01	Fisher-Exact		
Thyroid_hormone_levels	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Total_ventricular_volume	0	19	194	14182	0.00	1.00e+00	Fisher-Exact		
Triglycerides	1	89	194	14182	0.82	1.00e+00	Fisher-Exact		
Tuberculosis	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
Type_1_diabetes	2	95	194	14182	1.56	3.74e-01	Fisher-Exact		
Type_1_diabetes_autoantibodies	2	22	194	14182	7.28	3.59e-02	Fisher-Exact		
Type_2_diabetes	3	148	194	14182	1.50	4.59e-01	Fisher-Exact		
Ulcerative_colitis	4	179	194	14182	1.66	3.14e-01	Fisher-Exact		
Urate_levels	0	73	194	14182	0.00	6.29e-01	Fisher-Exact		
Uric_acid_levels	0	34	194	14182	0.00	1.00e+00	Fisher-Exact		
Venous_thromboembolism	0	16	194	14182	0.00	1.00e+00	Fisher-Exact		
Ventricular_conduction	0	25	194	14182	0.00	1.00e+00	Fisher-Exact		
Visceral_adipose_tissue_adjusted_for_BMI	0	48	194	14182	0.00	1.00e+00	Fisher-Exact		
Visceral_adipose_tissue-subcutaneous_adipose_tissue_ratio	0	40	194	14182	0.00	1.00e+00	Fisher-Exact		
Visceral_fat	2	45	194	14182	3.38	1.26e-01	Fisher-Exact		
Vitiligo	0	68	194	14182	0.00	1.00e+00	Fisher-Exact		
Waist_circumference	0	17	194	14182	0.00	1.00e+00	Fisher-Exact		
Waist-hip_ratio	0	26	194	14182	0.00	1.00e+00	Fisher-Exact		
Weight	0	39	194	14182	0.00	1.00e+00	Fisher-Exact		
White_blood_cell_count	2	37	194	14182	4.15	9.08e-02	Fisher-Exact		
White_blood_cell_types	1	32	194	14182	2.33	3.57e-01	Fisher-Exact		
Word_reading	0	15	194	14182	0.00	1.00e+00	Fisher-Exact		
###TBP	No Description###
Activated_partial_thromboplastin_time	0	17	178	14182	0.00	1.00e+00	Fisher-Exact		
Acute_lymphoblastic_leukemia_childhood	0	37	178	14182	0.00	1.00e+00	Fisher-Exact		
Adiponectin_levels	2	44	178	14182	3.78	1.05e-01	Fisher-Exact		
Age-related_macular_degeneration	0	124	178	14182	0.00	4.12e-01	Fisher-Exact		
Age-related_macular_degeneration_CNV	0	18	178	14182	0.00	1.00e+00	Fisher-Exact		
Age-related_macular_degeneration_GA	0	21	178	14182	0.00	1.00e+00	Fisher-Exact		
AIDS_progression	0	25	178	14182	0.00	1.00e+00	Fisher-Exact		
Airflow_obstruction	0	30	178	14182	0.00	1.00e+00	Fisher-Exact		
Alcohol_consumption	1	21	178	14182	3.95	2.33e-01	Fisher-Exact		
Alcohol_dependence	0	22	178	14182	0.00	1.00e+00	Fisher-Exact		
Allergic_sensitization	0	22	178	14182	0.00	1.00e+00	Fisher-Exact		
Alzheimers_disease	0	67	178	14182	0.00	1.00e+00	Fisher-Exact		
Alzheimers_disease_biomarkers	0	21	178	14182	0.00	1.00e+00	Fisher-Exact		
Alzheimers_disease_cognitive_decline	1	44	178	14182	1.83	4.27e-01	Fisher-Exact		
Alzheimers_disease_late_onset	2	35	178	14182	4.81	7.12e-02	Fisher-Exact		
Amyotrophic_lateral_sclerosis	0	54	178	14182	0.00	1.00e+00	Fisher-Exact		
Ankylosing_spondylitis	0	33	178	14182	0.00	1.00e+00	Fisher-Exact		
Anorexia_nervosa	0	24	178	14182	0.00	1.00e+00	Fisher-Exact		
Antineutrophil_cytoplasmic_antibody-associated_vasculitis	1	26	178	14182	3.16	2.80e-01	Fisher-Exact		
Asthma	1	128	178	14182	0.62	1.00e+00	Fisher-Exact		
Atopic_dermatitis	1	51	178	14182	1.58	4.75e-01	Fisher-Exact		
Atrial_fibrillation	0	20	178	14182	0.00	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder	1	75	178	14182	1.06	6.13e-01	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_and_conduct_disorder	1	26	178	14182	3.16	2.80e-01	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_combined_symptoms	0	21	178	14182	0.00	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_hyperactivity-impulsivity_symptoms	0	25	178	14182	0.00	1.00e+00	Fisher-Exact		
Attention_deficit_hyperactivity_disorder_inattention_symptoms	0	22	178	14182	0.00	1.00e+00	Fisher-Exact		
Autism_spectrum_disorder_attention_deficit-hyperactivity_disorder_bipolar_disorder_major_depressive_disorder_and_schizophrenia_combined	0	106	178	14182	0.00	6.46e-01	Fisher-Exact		
Behcets_disease	0	30	178	14182	0.00	1.00e+00	Fisher-Exact		
Beta-2_microglubulin_plasma_levels	0	38	178	14182	0.00	1.00e+00	Fisher-Exact		
Bilirubin_levels	0	45	178	14182	0.00	1.00e+00	Fisher-Exact		
Biochemical_measures	0	16	178	14182	0.00	1.00e+00	Fisher-Exact		
Bipolar_disorder	0	125	178	14182	0.00	4.12e-01	Fisher-Exact		
Bipolar_disorder_and_schizophrenia	0	133	178	14182	0.00	4.19e-01	Fisher-Exact		
Bipolar_disorder_mood-incongruent	0	16	178	14182	0.00	1.00e+00	Fisher-Exact		
Blood_pressure	0	57	178	14182	0.00	1.00e+00	Fisher-Exact		
Body_mass_index	2	124	178	14182	1.29	6.70e-01	Fisher-Exact		
Bone_mineral_density	3	98	178	14182	2.51	1.25e-01	Fisher-Exact		
Bone_mineral_density_hip	2	26	178	14182	6.62	4.18e-02	Fisher-Exact		
Bone_mineral_density_spine	0	33	178	14182	0.00	1.00e+00	Fisher-Exact		
Brain_structure	0	21	178	14182	0.00	1.00e+00	Fisher-Exact		
Breast_cancer	2	140	178	14182	1.14	6.96e-01	Fisher-Exact		
Breast_size	0	31	178	14182	0.00	1.00e+00	Fisher-Exact		
Bulimia_nervosa	0	23	178	14182	0.00	1.00e+00	Fisher-Exact		
Capecitabine_sensitivity	0	24	178	14182	0.00	1.00e+00	Fisher-Exact		
Cardiac_hypertrophy	0	26	178	14182	0.00	1.00e+00	Fisher-Exact		
Cardiac_Troponin-T_levels	1	17	178	14182	4.94	1.93e-01	Fisher-Exact		
Cardiovascular_disease_risk_factors	1	34	178	14182	2.39	3.49e-01	Fisher-Exact		
Celiac_disease	2	49	178	14182	3.37	1.26e-01	Fisher-Exact		
Celiac_disease_and_Rheumatoid_arthritis	0	15	178	14182	0.00	1.00e+00	Fisher-Exact		
Cervical_cancer	0	34	178	14182	0.00	1.00e+00	Fisher-Exact		
Cholesterol_total	0	71	178	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_hepatitis_B_infection	0	45	178	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_kidney_disease	0	29	178	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_lymphocytic_leukemia	2	57	178	14182	2.88	1.60e-01	Fisher-Exact		
Chronic_obstructive_pulmonary_disease	0	20	178	14182	0.00	1.00e+00	Fisher-Exact		
Chronic_obstructive_pulmonary_disease-related_biomarkers	1	55	178	14182	1.46	5.01e-01	Fisher-Exact		
Cognitive_performance	1	124	178	14182	0.64	1.00e+00	Fisher-Exact		
Colorectal_cancer	1	47	178	14182	1.71	4.48e-01	Fisher-Exact		
Common_traits_Other	0	22	178	14182	0.00	1.00e+00	Fisher-Exact		
Complement_C3_and_C4_levels	0	58	178	14182	0.00	1.00e+00	Fisher-Exact		
Conduct_disorder_interaction	0	15	178	14182	0.00	1.00e+00	Fisher-Exact		
Corneal_astigmatism	0	30	178	14182	0.00	1.00e+00	Fisher-Exact		
Corneal_structure	0	31	178	14182	0.00	1.00e+00	Fisher-Exact		
Coronary_heart_disease	2	157	178	14182	1.02	7.25e-01	Fisher-Exact		
C-reactive_protein	0	46	178	14182	0.00	1.00e+00	Fisher-Exact		
