alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
knownAlt	-1.0	-1.0	0.468446311743	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-0.242832598899	0.198599634256	-1.0	-1.0	-1.0	-1.0	-1.0	0.261155223451	-1.0	-1.0	0.21468797284	0.410405386012	0.0787495440804	-1.0	-1.0	0.410405386012	-1.0	0.422468702922	-1.0	-1.0	-1.0	0.182202695826	0.359749559244	0.359749559244	0.319110453132	0.319110453132	-1.0
rgdRatQtl	-0.44542014707	-0.338446781679	-0.0934184530502	-0.295149667662	-0.536009756311	0.616969269103	-0.740980553516	1.0	1.0	-0.44542014707	-0.536009756311	-0.819080605804	1.0	1.0	0.569028628765	-0.411541430955	1.0	-0.678098593158	-0.208297673039	-0.0284166259438	-0.655159732625	-0.507551688032	1.0	0.391151605146	1.0	-1.0	-0.655159732625	1.0	0.394612999034	1.0	1.0	1.0	-0.44542014707	0.630438598351	-0.1245068622	1.0	0.619258843966	-0.208297673039
knownGene_exon	-0.610171391906	-1.0	-1.0	1.0	0.380482910801	0.684577443467	-0.306926555686	-0.71583426609	-1.0	-1.0	-1.0	-0.373182168052	-1.0	-0.610171391906	-1.0	-0.61011717374	-0.385622720198	-0.104961204649	0.183564193309	0.411137314529	0.319929770263	0.00403872589517	0.319929770263	0.28947616529	-0.61011717374	-1.0	0.738507671731	-0.385622720198	-0.508367671722	0.0248405051791	-0.712842279678	-1.0	-1.0	-0.71583426609	0.47666144005	0.0336963939961	0.426412748203	0.183564193309
oreganno	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.00420663066323	-1.0	-1.0	-1.0	-1.0	0.164347384329	-1.0	-0.614352580131	0.136458438182	-1.0	-1.0	-1.0	-1.0	0.348474524056	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0668688835583	-1.0	-1.0	-1.0	-1.0	0.0460525821538	0.0460525821538	-1.0	-1.0	-1.0
vegaGene_exon	-1.0	0.686780690094	-1.0	-1.0	-1.0	0.642452735476	-0.574986599219	-1.0	-0.619426865793	0.57561869234	-1.0	-0.326809459751	0.610717898237	-1.0	0.621323816947	-1.0	-0.625623675553	-0.160326395652	0.350324721818	-1.0	0.463431708129	0.0122007990987	-1.0	0.0391694492754	-1.0	0.642452735476	-1.0	-0.625623675553	-0.717540304138	0.0122007990987	-1.0	0.256114628625	0.57561869234	-1.0	0.698966810761	0.197470869961	-1.0	0.116660486395
transMapAlnMRna	-1.0	0.372048237882	-0.595260063084	-0.239254860121	-0.148541123811	0.807658098693	-0.89273350795	0.658406899538	-0.175467941999	-0.200106340611	1.0	-0.915370909179	-0.758472627897	-0.523510516422	-0.0504937559419	-0.322568662072	0.427119322262	-0.00561699808296	0.427119322262	0.653692537939	0.688563205982	0.773806737092	0.421524180589	0.0055538020262	-0.322568662072	-1.0	0.421524180589	0.18174006019	-0.232618872042	0.773806737092	0.0696894194436	0.773806737092	0.748147862504	-0.828767440938	-0.51638024016	0.342521659469	0.342521659469	0.427119322262
dgvMerged	-0.710131270912	1.0	-0.830713885481	-0.182729989343	0.321892809557	0.774825676849	0.373711094445	0.317931301487	-0.342428795365	1.0	0.321892809557	-0.709390199792	-0.306559007385	-0.710131270912	-0.731091589603	-0.454749079475	-0.76486254356	0.825945469004	-0.371287952681	1.0	1.0	-1.0	1.0	0.813085154205	0.124020158554	0.38761012816	-0.00349617791449	-0.371287952681	1.0	-0.495671453754	0.191604946455	-1.0	-0.710131270912	1.0	0.317931301487	1.0	-0.182729989343	0.541423468038
simpleRepeat	-1.0	-1.0	0.269747580345	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-0.605354389427	-1.0	-1.0	0.462093408193	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.113282357076	-1.0	-1.0	0.00298584406029	-1.0	0.231118182586	-1.0	0.23898398123	-1.0	-1.0	0.113282357076	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
lincRNAsCTColon	-1.0	-0.618634113595	-0.395089804302	-0.618111757014	0.485789169872	0.203819546977	-1.0	-1.0	-1.0	0.399893101491	-1.0	-0.807674344354	-1.0	-1.0	1.0	0.368266914481	-1.0	0.0113567429277	0.536262853054	-1.0	-1.0	0.458582247643	0.372578531323	-0.62586539339	0.368266914481	0.203819546977	-0.634033467513	-1.0	0.00831108921741	0.458582247643	-0.618634113595	-1.0	0.399893101491	-1.0	0.297935562577	1.0	1.0	-1.0
affyExonProbesetExtended	-1.0	-1.0	-1.0	-1.0	1.0	-1.0	0.388493276293	-1.0	-1.0	-1.0	-0.614189695454	-0.68739425216	0.586835659548	0.552031054781	-0.30832753269	-1.0	-0.620567844333	-0.718617220736	0.100884552729	-1.0	0.0422574340364	-0.614310828988	0.131318215893	0.00720715791513	-1.0	0.379879449665	-0.7137125744	-0.620567844333	-1.0	1.0	0.213661428459	1.0	0.552031054781	0.682921412013	0.682921412013	0.651282792808	-0.388668599738	0.321918018581
snp138Common	1.0	1.0	1.0	1.0	1.0	1.0	-0.110686812176	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-0.0246144502926	1.0	1.0	1.0	1.0	1.0
ntSssTop5p	0.182202695826	-1.0	0.468446311743	0.319110453132	-1.0	0.290687556986	-1.0	0.359749559244	-1.0	-1.0	0.230473139215	1.0	-1.0	-1.0	-0.623497854481	-1.0	0.261155223451	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.096759146346	-1.0	-1.0	0.21468797284	0.182202695826	-1.0	0.359749559244	0.319110453132	0.319110453132	-1.0
affyExonProbeFree	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
pseudoYale60_exon	-1.0	-1.0	-1.0	0.090956467276	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.136258121126	-1.0	-1.0	-1.0	0.058201339392	0.122849672972	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
phastConsElements46way	-1.0	0.275856301934	0.373910506224	-1.0	0.0451637123828	-0.241584043506	-0.220056449012	0.72554388841	0.660349923615	-1.0	-1.0	0.396440733616	-1.0	-1.0	-0.667848844647	-0.608070888748	-1.0	0.54952593635	0.223214778143	-1.0	-0.346217808161	-1.0	1.0	-1.0	-0.608070888748	-0.241584043506	-0.346217808161	-0.394093107709	1.0	0.631945228898	0.496347112578	0.631945228898	0.087514116537	-1.0	-0.498137395951	0.455613639583	-0.711409640261	-0.394093107709
lincRNAsCThLF_r1	-1.0	-0.618634113595	-0.395089804302	-0.618111757014	0.485789169872	0.203819546977	-1.0	-1.0	-1.0	0.399893101491	-1.0	-0.807674344354	-1.0	-1.0	1.0	0.368266914481	-1.0	0.0113567429277	0.536262853054	-1.0	-1.0	0.458582247643	0.372578531323	-0.62586539339	0.368266914481	0.203819546977	-0.634033467513	-1.0	0.00831108921741	0.458582247643	-0.618634113595	-1.0	0.399893101491	-1.0	0.297935562577	1.0	1.0	-1.0
snp135Common	1.0	1.0	1.0	1.0	1.0	1.0	-0.0569306930693	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
numtS	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
genscan_exon	-1.0	-0.402766348867	-0.503653861333	0.660273503732	-1.0	-1.0	-0.573042558489	-1.0	-1.0	0.569829042849	-0.614753616954	-0.844651542454	0.604868030587	-1.0	0.808669103275	-1.0	-0.624215309698	-1.0	0.343243987411	-1.0	-0.714562517514	0.0646872999286	0.149229093255	0.119524604452	0.531734884518	-1.0	0.458025580131	-0.624215309698	0.265001465853	0.0646872999286	-1.0	0.250389538579	0.569829042849	-1.0	0.694904770538	0.660273503732	0.191303849484	-1.0
acembly	-0.179096341464	-0.471334380075	-0.0403721040691	-1.0	-0.546952381185	0.789923589688	-0.232695221835	1.0	-0.377524397723	-0.499823655256	-1.0	-0.761928301441	-0.322062555135	1.0	-0.115797998015	-0.465002618624	0.571708824725	-0.00142600198272	0.571708824725	0.329870926252	0.279465045861	0.526610099552	0.279465045861	0.0693949574482	0.0640295735915	0.113086573714	0.127249420519	-0.780708584933	0.403377682735	0.526610099552	0.147631971079	-0.760341648396	0.731538285715	-0.490828173446	-0.81816245111	0.457680896381	-1.0	0.571708824725
ccdsGene	-0.758747017664	-0.510275721306	-0.0648937104121	-0.102138777236	-0.100493936347	-0.463079501753	-0.963336268257	0.279896057651	-1.0	-0.758747017664	-1.0	-0.292815783073	-1.0	-0.758747017664	-0.150298290397	-1.0	0.124556843918	-0.0561788911131	0.0156287301062	0.667585532695	0.330746245597	1.0	0.566725101755	0.0206834757635	-0.515550781579	-0.807228462854	0.330746245597	0.611524202656	-0.335470627695	0.24274308152	0.0755201317807	0.561868486536	-0.758747017664	-1.0	-1.0	0.356599382249	0.356599382249	0.308298445138
jaxQtlAsIs	-1.0	-1.0	-0.357787200767	-0.816345843454	-0.00119556787338	0.325836211149	0.811967358509	-0.271245355511	0.0977977147165	-0.74789351352	-0.259198510963	0.140293011423	-1.0	-0.213536092068	0.166224392551	1.0	0.791810264687	-0.566345055463	0.791810264687	-1.0	-0.318991930693	-0.377933452929	-1.0	0.249936587845	-0.745021414306	1.0	0.437540399391	-0.608247158665	0.840169421919	0.078958912425	-0.653612472686	-0.377933452929	0.100396391368	0.664971168581	-0.271245355511	-0.816345843454	-0.816345843454	-1.0
snpArrayAffy6	1.0	0.821172258648	-0.347490387812	0.238119299639	-0.775509456178	-0.0222966226509	-0.0940129587599	-0.126709701437	-0.268776251167	0.522592698221	-0.390067356	0.563066303402	-0.217666561359	1.0	0.547862967394	-1.0	0.596704407754	-0.246693468729	-0.792302769993	1.0	1.10111268929e-11	0.231703369153	0.327123312142	5.94614226525e-05	-0.165043666226	1.0	0.164862712657	-0.427469627749	-0.227551260666	1.0	-0.0218276414214	-0.0345752307686	1.0	-0.375247267879	0.181800825026	0.479782054761	-0.636561006614	-0.792302769993
agilentCghSnp4x180k	0.242418382231	-1.0	0.204931728453	-1.0	0.303438394893	-1.0	-0.630438598352	0.45961034009	0.00525935900261	-1.0	-1.0	0.746191286475	-1.0	-1.0	0.675153909421	0.220968194855	0.341480415669	0.557343636683	-1.0	-1.0	-1.0	-1.0	0.15522700903	0.489456531935	0.220968194855	-1.0	0.517725246715	-1.0	-1.0	-1.0	-1.0	0.283639486221	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
hapmapSnpsJPT	1.0	1.0	-0.233814560823	1.0	1.0	1.0	-0.151318982613	1.0	1.0	1.0	1.0	-1.0	-0.283792740768	1.0	0.247801225922	1.0	1.0	1.0	1.0	1.0	1.0	-0.00425644770689	1.0	1.0	-1.74457149058e-06	1.0	1.0	1.0	1.0	-0.305359835149	1.0	1.0	1.0	-0.489456531935	1.0	-0.439815167759	-0.439815167759	-0.00829838647007
snpArrayIllumina300	0.104497080541	-0.357442809936	-0.849171571064	0.328910730877	0.0150916445345	0.000481355416683	-0.633082192246	-0.505988924426	0.00773206854596	0.329315988419	0.775052269567	-0.33735215374	-0.34602900517	-0.507367641939	0.191743358964	-0.0312310548879	-0.00193035442032	-0.0473317878652	0.412330174798	-0.66337361939	-0.530681315481	-0.0663745192212	0.0223407454461	-0.387089729401	-0.173478242687	-0.442864901716	-0.294734573261	0.0127079293593	0.00319091177453	0.35939198876	-0.357442809936	0.761149319576	-1.0	-0.114743746841	-0.825112719964	-0.626618266709	-0.626618266709	0.785240292437
nscanGene_exon	-1.0	0.671903467089	-0.503738067483	0.651282792808	0.262843834987	-1.0	-1.0	-1.0	-1.0	0.552031054781	1.0	-0.419899285544	0.586835659548	-1.0	0.800705364487	-1.0	-0.620567844333	-0.158427586843	0.100884552729	-1.0	-0.7137125744	0.0574737787716	0.131318215893	0.420613326375	-1.0	-1.0	1.0	-0.620567844333	-0.714532630453	0.0574737787716	-1.0	1.0	0.552031054781	-1.0	0.234649550617	0.173162549792	0.651282792808	0.321918018581
exoniphy_exon	-1.0	1.0	-0.392074602524	-1.0	0.458839883312	0.552931970407	-1.0	-1.0	0.484025951636	0.375891586472	-1.0	-0.609092049465	0.404828943991	-1.0	0.750310567819	-1.0	-1.0	-0.638151474552	0.147408121595	-1.0	-1.0	0.432459218863	0.336410805759	0.30168661986	-1.0	0.552931970407	-1.0	-1.0	-0.629738120171	0.100895920408	1.0	-1.0	0.375891586472	-1.0	0.266748543076	0.0516225387552	0.593803327597	-1.0
agilentHrd1x1m	-1.0	0.501248054093	-0.618718599675	0.46665489377	0.348474524056	0.10071932614	0.655159732626	0.517725246715	0.36978227547	-1.0	-1.0	-1.0	-1.0	-1.0	-0.713958302328	0.256106841652	-1.0	0.0620090476878	-1.0	-1.0	0.57855107218	-1.0	-1.0	0.549123403697	-1.0	0.429760764754	-1.0	-1.0	-1.0	-1.0	0.501248054093	0.00537565886643	0.280313627782	-1.0	-1.0	0.46665489377	-1.0	-1.0
affyExonProbeExtended	-1.0	-1.0	-0.619243677346	0.479613406582	0.359305510229	-1.0	0.662503615951	-1.0	-1.0	-1.0	-1.0	-0.563166818787	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	0.086408207048	-1.0	0.592563440625	-1.0	0.051800783127	0.189344636315	-1.0	-1.0	0.592563440625	-1.0	0.606630943314	0.3368103851	0.514641648548	-1.0	-1.0	0.531293078649	0.164961616435	-1.0	-1.0	0.086408207048
